epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8687,3.79528,3.93967,4.18433,0.00137,0.15455,0.00082,0.00022,3.74405,4.1203,4.14352,0.000656716,0.000656716,0.000656716
2,53.6628,3.40327,3.62878,3.82143,0.01968,0.00303,0.00656,0.00204,3.52272,4.02782,4.03513,0.00131028,0.00131028,0.00131028
3,78.9629,3.15828,3.42136,3.4078,0.01462,0.10909,0.00791,0.00243,2.90334,24.7181,4.5781,0.00195065,0.00195065,0.00195065
4,103.03,2.95195,3.28981,3.13944,0.02006,0.0697,0.00909,0.00287,2.82858,4.88877,3.99494,0.0019406,0.0019406,0.0019406
5,127.127,2.90579,3.15553,3.01597,0.03107,0.14242,0.01503,0.00448,2.66938,7.14214,2.90741,0.0019208,0.0019208,0.0019208
6,150.415,2.80644,3.04276,2.90893,0.11251,0.06364,0.02898,0.00906,2.62936,7.33064,2.85202,0.001901,0.001901,0.001901
7,173.562,2.69905,3.04594,2.85327,0.09174,0.12121,0.04615,0.01484,2.47671,3.52362,2.70659,0.0018812,0.0018812,0.0018812
8,197.173,2.64168,2.9279,2.7809,0.1631,0.11457,0.05999,0.0225,2.50347,3.27635,2.6851,0.0018614,0.0018614,0.0018614
9,221.356,2.59386,2.80564,2.67355,0.15969,0.13939,0.07021,0.02593,2.49678,3.03744,2.69075,0.0018416,0.0018416,0.0018416
10,245.23,2.54089,2.77623,2.64785,0.24686,0.20909,0.12165,0.04313,2.3816,3.09034,2.5922,0.0018218,0.0018218,0.0018218
11,268.585,2.47485,2.79512,2.6385,0.13291,0.15758,0.07932,0.03055,2.34031,4.37229,2.54996,0.001802,0.001802,0.001802
12,291.85,2.37943,2.62093,2.54814,0.15374,0.1602,0.08992,0.03128,2.3736,2.85344,2.59105,0.0017822,0.0017822,0.0017822
13,315.57,2.35215,2.61574,2.48557,0.30937,0.23636,0.19864,0.07448,2.25165,2.58533,2.50934,0.0017624,0.0017624,0.0017624
14,340.387,2.34718,2.51223,2.47948,0.22675,0.24545,0.14472,0.05508,2.22525,2.71174,2.48316,0.0017426,0.0017426,0.0017426
15,365.454,2.26506,2.43986,2.40339,0.30498,0.27576,0.22315,0.08939,2.11981,2.54885,2.42887,0.0017228,0.0017228,0.0017228
16,389.592,2.24969,2.41098,2.44425,0.28319,0.25758,0.17489,0.06604,2.1399,2.91487,2.43828,0.001703,0.001703,0.001703
17,412.4,2.17221,2.37784,2.37671,0.43925,0.24545,0.25006,0.10659,2.16265,2.4673,2.42129,0.0016832,0.0016832,0.0016832
18,435.343,2.15259,2.35829,2.33451,0.3483,0.28666,0.278,0.12409,2.034,2.84637,2.33014,0.0016634,0.0016634,0.0016634
19,458.756,2.10445,2.2695,2.2895,0.39554,0.33333,0.31368,0.13149,2.02518,2.26946,2.34441,0.0016436,0.0016436,0.0016436
20,482.488,2.06932,2.19142,2.2897,0.49673,0.31212,0.33044,0.1326,2.15676,2.3532,2.45241,0.0016238,0.0016238,0.0016238
21,506.42,2.08968,2.24952,2.30595,0.42601,0.35985,0.34341,0.15384,1.92911,2.18644,2.20964,0.001604,0.001604,0.001604
22,529.851,2.0204,2.21005,2.21148,0.44184,0.35152,0.36253,0.1508,1.95902,2.21657,2.23959,0.0015842,0.0015842,0.0015842
23,552.972,1.98145,2.09849,2.1732,0.50083,0.34356,0.36878,0.15679,1.91289,2.22972,2.2006,0.0015644,0.0015644,0.0015644
24,576.173,1.93685,2.06256,2.15419,0.46834,0.34848,0.38388,0.1684,1.87143,2.16849,2.1935,0.0015446,0.0015446,0.0015446
25,599.871,1.92662,2.02867,2.14926,0.47171,0.33333,0.36473,0.17589,1.81843,2.11484,2.13672,0.0015248,0.0015248,0.0015248
26,624.709,1.91009,1.9575,2.08107,0.53401,0.37158,0.43975,0.20097,1.83238,2.09316,2.12203,0.001505,0.001505,0.001505
